Model tag,Model,N,Exec,Low,High,Relation,Edge,Preserve,Overall
openrouter_gpt5_4_none,GPT-5.4,298,0.9832214765100671,0.24248445080306222,0.2922840660317993,0.23126087738530188,0.16638738041728435,0.7734786338854696,0.27241255341632964
openrouter_gpt4_1,GPT-4.1,298,0.8657718120805369,0.15846654659548984,0.19613197319480546,0.155732767142601,0.1272379556085327,0.6036569147276255,0.18137967601984872
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,298,0.9228187919463087,0.16053292865639698,0.16046425603656786,0.16670639603693307,0.12670031616813077,0.6212250301257984,0.16227352910326534
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,298,0.6208053691275168,0.11511845422899811,0.13856367989470098,0.1279062298578481,0.10348155237798422,0.45259930351508043,0.1297602827688912
glm_4_5v,GLM-4.5V,298,0.7651006711409396,0.11430564162169346,0.11809525518546417,0.10777603063258104,0.08892216721549474,0.5034581027255717,0.11785480430627858
qwen3_vl_32b,Qwen3-VL-32B,298,0.5805369127516778,0.08808339545129547,0.10509030776590139,0.11018618600850036,0.08352272277500905,0.3859435471569807,0.09885780743873454
qwen3_vl_8b,Qwen3-VL-8B,298,0.35570469798657717,0.03395442860969178,0.046111981924947844,0.07875094794512337,0.05011651975429229,0.22705564005676152,0.041873267691318
