Model,Overall 298,Overall 300,Delta 298 minus 300,Exec 298,Exec 300
GPT-5.4,0.27241255341632964,0.2718905217867931,0.0005220316295365124,0.9832214765100671,0.9833333333333333
GPT-4.1,0.18137967601984872,0.18226547393414477,-0.0008857979142960493,0.8657718120805369,0.8666666666666667
Claude Sonnet 4,0.16227352910326534,0.16175495844752774,0.0005185706557375991,0.9228187919463087,0.9233333333333333
Qwen3.5-122B-A10B,0.1297602827688912,0.12957246199537703,0.0001878207735141746,0.6208053691275168,0.62
GLM-4.5V,0.11785480430627858,0.11770712194225914,0.0001476823640194358,0.7651006711409396,0.7633333333333333
Qwen3-VL-32B,0.09885780743873454,0.09819875538914298,0.0006590520495915603,0.5805369127516778,0.5766666666666667
Qwen3-VL-8B,0.041873267691318,0.041594112573375884,0.00027915511794211756,0.35570469798657717,0.3566666666666667
