Model tag,Model,N,Exec,Low,High,Relation,Edge,Preserve,Overall
openrouter_gpt5_4_none,GPT-5.4,300,0.9833333333333333,0.24182144612701245,0.2919081434310762,0.23126087738530188,0.16638738041728435,0.7733526871958856,0.2718905217867931
openrouter_gpt4_1,GPT-4.1,300,0.8666666666666667,0.15917779004121357,0.19718722045968773,0.155732767142601,0.1272379556085327,0.6045122314673388,0.18226547393414477
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,300,0.9233333333333333,0.1599812138915318,0.1599943592929986,0.16670639603693307,0.12670031616813077,0.6220965902889691,0.16175495844752774
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,300,0.62,0.1150167282009548,0.13832659317093798,0.1279062298578481,0.10348155237798422,0.4524766335909531,0.12957246199537703
glm_4_5v,GLM-4.5V,300,0.7633333333333333,0.11407043366992431,0.1180369407292947,0.10777603063258104,0.08892216721549474,0.5029431499519275,0.11770712194225914
qwen3_vl_32b,Qwen3-VL-32B,300,0.5766666666666667,0.08749617281495349,0.10438970571412871,0.11018618600850036,0.08352272277500905,0.38337059017593417,0.09819875538914298
qwen3_vl_8b,Qwen3-VL-8B,300,0.3566666666666667,0.03372806575229383,0.04580456871211486,0.07875094794512337,0.05011651975429229,0.2280789532779538,0.041594112573375884
